file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft 39 full code fidelity,8.984692954788803e-09,1,0.0005940262887104569,0.0007288564131460777,0.051535572131954074,0.402669275751817,0.9923722992860352,1482,150,2964,600,150,450,181.57894736842178,126.31578947368395,55.26315789473701,40.8104772726244
qft 40 full code fidelity,3.3684701014766387e-09,1,0.0004017963279080584,0.0004957117927726742,0.044088291053208634,0.3835961306767807,0.9921688939336628,1560,154,3120,616,154,462,186.4210526315797,129.68421052631552,56.73684210526334,40.81047727262439
qft 41 full code fidelity,1.231310479705873e-09,1,0.00026906203525670747,0.0003337860171417196,0.03756655593722117,0.36496030608487,0.9919654885812904,1640,158,3280,632,158,474,191.26315789473762,133.05263157894709,58.21052631578967,40.81047727262439
qft 42 full code fidelity,4.388411555576687e-10,1,0.00017837954184635497,0.00022251466845776976,0.03188169849045013,0.3467865219442749,0.991762083228918,1722,162,3444,648,162,486,196.10526315789554,136.42105263157865,59.684210526316,40.81047727262439
qft 43 full code fidelity,1.5249355604220482e-10,1,0.00011708030005530386,0.0001468590684486889,0.02694905074941375,0.32909662151244173,0.9915586778765457,1806,166,3612,664,166,498,200.94736842105345,139.7894736842102,61.15789473684233,40.81047727262439
qft 44 full code fidelity,5.166536160945839e-11,1,7.607969640955469e-05,9.596094365866827e-05,0.022688586863391567,0.3119096025482247,0.9913552725241733,1892,170,3784,680,170,510,205.78947368421137,143.15789473684177,62.63157894736866,40.8104772726244
qft 45 full code fidelity,1.706674756652572e-11,1,4.894404698322984e-05,6.207830759629702e-05,0.019025381535810043,0.2952416644116174,0.9911518671718009,1980,174,3960,696,174,522,210.6315789473693,146.52631578947333,64.105263157895,40.81047727262439
qft 46 full code fidelity,5.496735460426338e-12,1,3.1172895498583746e-05,3.975912740609186e-05,0.0158899033477431,0.27910626993860316,0.9909484618194285,2070,178,4140,712,178,534,215.4736842105272,149.8947368421049,65.57894736842135,40.81047727262439
qft 47 full code fidelity,1.7260809384122649e-12,1,1.9656245706305155e-05,2.5210730952444772e-05,0.013218162576037645,0.26351422090615473,0.9907450564670561,2162,182,4324,728,182,546,220.31578947368513,153.26315789473645,67.05263157894771,40.81047727262439
qft 48 full code fidelity,5.284686068667705e-13,1,1.2270723280461195e-05,1.5826527925645854e-05,0.01095173371485356,0.24847374584501006,0.9905416511146837,2256,186,4512,744,186,558,225.15789473684305,156.631578947368,68.52631578947407,40.81047727262439
qft 49 full code fidelity,1.577532860733698e-13,1,7.583783282980867e-06,9.83642934050742e-06,0.009037672819622146,0.23399059891544488,0.9903382457623113,2352,190,4704,760,190,570,230.00000000000097,159.99999999999957,70.00000000000043,40.81047727262439
qft 50 full code fidelity,4.591327642820147e-14,1,4.640318890515293e-06,6.052585347905994e-06,0.007428349131130245,0.2200681685335849,0.9901348404099389,2450,194,4900,776,194,582,234.84210526315889,163.36842105263113,71.47368421052678,40.81047727262439
