file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,average_movement
qft 28,3.781574204602615e-08,1,0.02260731802731656,0.026132968585455146,0.04853291707107927,0.0013188592245925782,0.9091745094364918,756,106,3024,5168,1012,3372.947368420928,50.5458802841109
qft 29,5.038009150773091e-09,1,0.01707424722777896,0.0198430408231548,0.038788747648253,0.0003833570042759476,0.8981838969838745,812,110,3248,5800,1100,3867.1578947366697,50.798742232505575
qft 30,1.047710736766569e-09,1,0.012766746905164973,0.014916925569894404,0.030753817045549962,0.00017888865408538193,0.8947119413894693,870,114,3480,6164,1140,4023.4736842103443,50.19721160373423
qft 31,1.6644938714581312e-10,1,0.009450724290688864,0.011102020811130906,0.02418890454266364,6.558414621184317e-05,0.8854869411135191,930,118,3720,6504,1216,4406.631578947241,50.949606724835974
qft 32,2.7424276344071098e-11,1,0.0069262170922646735,0.008180434447901015,0.018873710130116027,2.564516083788342e-05,0.8793870514455734,992,122,3968,6864,1288,4627.263157894679,50.82315559221306
qft 33,2.630899164069527e-12,1,0.005025430456791578,0.005967635902294668,0.014609059791471108,6.004907900412936e-06,0.869157750410696,1056,126,4224,7428,1368,5093.7894736842545,50.997362534253675
qft 34,2.4860400633159585e-13,1,0.0036099118471168983,0.0043100259473154105,0.011217889511916714,1.4243623435179458e-06,0.8597590923029073,1122,130,4488,7940,1452,5514.00000000014,51.1113492777595
qft 35,2.436204326686597e-14,1,0.0025672377333703605,0.0030818327697636444,0.008545233918790978,3.603417623737289e-07,0.8512858594848558,1190,134,4760,8376,1548,5835.473684210779,51.20795525782745
qft 36,3.049795046037096e-15,1,0.0018075142906314782,0.0021816740719853445,0.006457444154059112,1.197673349432973e-07,0.8478328533215437,1260,138,5040,8716,1556,6076.000000000322,50.93206386663404
qft 37,1.8785338123248496e-16,1,0.0012599216922462527,0.001529052120076984,0.00484084601358675,2.014335960162116e-08,0.838947678904805,1332,142,5328,9292,1632,6466.526315789835,50.803983099030525
qft 38,8.145312602777786e-18,1,0.0008694638471734857,0.0010609778705061867,0.003600027206909418,2.4526982396082337e-09,0.8259886911144221,1406,146,5624,9840,1752,7016.947368421573,51.315894297093614
qft 39,6.974073865118892e-19,1,0.0005940262887104569,0.0007288564131460777,0.0026559151949678748,6.064914664960938e-10,0.8216884210308243,1482,150,5928,10204,1792,7237.263157895295,51.05160912007623
qft 40,1.7009906027856435e-20,1,0.0004017963279080584,0.0004957117927726742,0.0019437774079924567,4.393596505804744e-11,0.8061321681804452,1560,154,6240,10824,1940,7843.36842105341,51.57188650738888
qft 41,3.6247452180259917e-22,1,0.00026906203525670747,0.0003337860171417196,0.0014112461249843808,2.8599218168063487e-12,0.7951784501168471,1640,158,6560,11508,2016,8396.947368421885,51.52567188440223
qft 42,1.211932789583958e-23,1,0.00017837954184635497,0.00022251466845776976,0.0010164426986359796,3.0039447836025963e-13,0.7859986369218941,1722,162,6888,11944,2108,8778.94736842197,51.715503497629996
qft 43,2.876138350847216e-25,1,0.00011708030005530386,0.0001468590684486889,0.0007262513362944858,2.3032349005783654e-14,0.7751364350415237,1806,166,7224,12412,2180,9293.15789473776,51.98806388776268
qft 44,4.374818250288623e-27,1,7.607969640955469e-05,9.596094365866827e-05,0.0005147719738576675,1.1640773524531094e-15,0.7683167261000539,1892,170,7568,13080,2248,9621.894736843096,51.54239485456044
qft 45,8.184036481974379e-29,1,4.894404698322984e-05,6.207830759629702e-05,0.0003619651425831446,7.441509865357829e-17,0.7601319205660089,1980,174,7920,13548,2308,10029.684210527366,51.58551824165122
qft 46,1.261048566333547e-31,1,3.1172895498583746e-05,3.975912740609186e-05,0.00025248902840061953,4.0297241085847594e-19,0.738334458729051,2070,178,8280,14368,2520,10914.000000001082,52.16460979205747
qft 47,1.628663525813654e-33,1,1.9656245706305155e-05,2.5210730952444772e-05,0.00017471982188656398,1.88106231182285e-20,0.7311830115573543,2162,182,8648,14780,2552,11341.263157895957,52.207916958725136
qft 48,6.71759693513481e-36,1,1.2270723280461195e-05,1.5826527925645854e-05,0.00011994047136106191,2.8839809013171595e-22,0.7213152486753587,2256,186,9024,15392,2624,11846.63157894856,52.13004129751698
qft 49,1.0708838786731571e-38,1,7.583783282980867e-06,9.83642934050742e-06,8.167952999453768e-05,1.7575421939995964e-24,0.7113730965141599,2352,190,9408,16124,2708,12330.736842106515,51.916388024344876
qft 50,2.9765560240839518e-43,1,4.640318890515293e-06,6.052585347905994e-06,5.518037081396385e-05,1.9206166847227746e-28,0.6838384882365649,2450,194,9800,17056,2980,13410.736842106635,52.71089051143671
